year,month,day,predicted temperature(C)
2023,3,18,32.60619889679325
2023,3,19,32.736405213135804
2023,3,20,32.87702416216349
2023,3,21,32.94784942753374
2023,3,22,33.08846837656142
2023,3,23,33.15929364193167
2023,3,24,33.34991259095935
2023,3,25,33.3707378563296
2023,3,26,33.311356805357285
2023,3,27,33.21238838707009
2023,3,28,33.17280101975522
2023,3,29,33.17280101975522
2023,3,30,33.17280101975522
2023,3,31,33.17280101975522
2023,4,1,33.17280101975522
2023,4,2,33.17280101975522
2023,4,3,33.17280101975522
2023,4,4,33.17280101975522
2023,4,5,33.17280101975522
2023,4,6,33.17280101975522
2023,4,7,33.07280101975522
2023,4,8,32.92280101975523
2023,4,9,32.87280101975522
2023,4,10,32.912388387070095
2023,4,11,32.9217694380424
2023,4,12,32.891563121699846
2023,4,13,32.891563121699846
2023,4,14,32.911356805357286
2023,4,15,32.931150489014726
2023,4,16,32.931150489014726
2023,4,17,32.931150489014726
2023,4,18,32.931150489014726
2023,4,19,32.931150489014726
2023,4,20,32.931150489014726
2023,4,21,32.931150489014726
2023,4,22,32.931150489014726
2023,4,23,32.931150489014726
2023,4,24,32.78115048901472
2023,4,25,32.73115048901472
2023,4,26,32.73115048901472
2023,4,27,32.74053153998704
2023,4,28,32.71032522364448
2023,4,29,32.61032522364448
2023,4,30,32.43011890730192
2023,5,1,32.44991259095935
2023,5,2,32.48949995827423
2023,5,3,32.46867469290398
2023,5,4,32.56867469290398
2023,5,5,32.46867469290398
2023,5,6,32.50826206021886
2023,5,7,32.51867469290398
2023,5,8,32.50826206021886
2023,5,9,32.50826206021886
2023,5,10,32.48846837656142
2023,5,11,32.60826206021886
2023,5,12,32.708262060218864
2023,5,13,32.708262060218864
2023,5,14,32.56867469290398
2023,5,15,32.52908732558911
2023,5,16,32.52908732558911
2023,5,17,32.56867469290398
2023,5,18,32.56867469290398
2023,5,19,32.56867469290398
2023,5,20,32.668674692903984
2023,5,21,32.56867469290398
2023,5,22,32.56867469290398
2023,5,23,32.52908732558911
2023,5,24,32.56867469290398
2023,5,25,32.56867469290398
2023,5,26,32.56867469290398
2023,5,27,32.56867469290398
2023,5,28,32.56867469290398
2023,5,29,32.56867469290398
2023,5,30,32.56867469290398
2023,5,31,32.56867469290398
2023,6,1,32.56867469290398
2023,6,2,32.668674692903984
2023,6,3,32.768674692903986
2023,6,4,32.768674692903986
2023,6,5,32.72908732558911
2023,6,6,32.68949995827423
2023,6,7,32.68949995827423
2023,6,8,32.58949995827423
2023,6,9,32.48949995827423
2023,6,10,32.48949995827423
2023,6,11,32.52908732558911
2023,6,12,32.56867469290398
2023,6,13,32.56867469290398
2023,6,14,32.56867469290398
2023,6,15,32.56867469290398
2023,6,16,32.56867469290398
2023,6,17,32.61867469290399
2023,6,18,32.668674692903984
2023,6,19,32.768674692903986
2023,6,20,32.748881009246546
2023,6,21,32.72908732558911
2023,6,22,32.68949995827423
2023,6,23,32.68949995827423
2023,6,24,32.789499958274234
2023,6,25,32.88949995827423
2023,6,26,32.88949995827423
2023,6,27,32.94991259095935
2023,6,28,32.96032522364448
2023,6,29,32.91032522364448
2023,6,30,32.9207378563296
2023,7,1,32.95094417267216
2023,7,2,32.9707378563296
2023,7,3,33.05094417267216
2023,7,4,32.98115048901472
2023,7,5,32.98115048901472
2023,7,6,32.891563121699846
2023,7,7,32.911356805357286
2023,7,8,32.96135680535728
2023,7,9,33.03115048901473
2023,7,10,33.03115048901473
2023,7,11,33.01135680535729
2023,7,12,32.891563121699846
2023,7,13,32.791563121699845
2023,7,14,32.791563121699845
2023,7,15,32.831150489014725
2023,7,16,32.9207378563296
2023,7,17,32.9707378563296
2023,7,18,32.8707378563296
2023,7,19,32.85094417267216
2023,7,20,32.831150489014725
2023,7,21,32.8707378563296
2023,7,22,32.8707378563296
2023,7,23,32.9707378563296
2023,7,24,32.9707378563296
2023,7,25,32.9707378563296
2023,7,26,32.931150489014726
2023,7,27,32.931150489014726
2023,7,28,32.931150489014726
2023,7,29,32.931150489014726
2023,7,30,32.931150489014726
2023,7,31,32.931150489014726
2023,8,1,32.931150489014726
2023,8,2,32.931150489014726
2023,8,3,32.931150489014726
2023,8,4,33.03115048901473
2023,8,5,33.13115048901473
2023,8,6,33.13115048901473
2023,8,7,33.09156312169985
2023,8,8,33.05197575438497
2023,8,9,33.05197575438497
2023,8,10,33.05197575438497
2023,8,11,33.05197575438497
2023,8,12,33.05197575438497
2023,8,13,32.901975754384964
2023,8,14,32.80197575438497
2023,8,15,32.80197575438497
2023,8,16,32.76135680535728
2023,8,17,32.750944172672156
2023,8,18,32.70094417267216
2023,8,19,32.69053153998704
2023,8,20,32.660325223644485
2023,8,21,32.680118907301924
2023,8,22,32.64991259095935
2023,8,23,32.66970627461679
2023,8,24,32.769706274616794
2023,8,25,32.68949995827423
2023,8,26,32.68949995827423
2023,8,27,32.64991259095935
2023,8,28,32.68949995827423
2023,8,29,32.73949995827424
2023,8,30,32.789499958274234
2023,9,1,32.66970627461679
2023,9,2,32.64991259095935
2023,9,3,32.68949995827423
2023,9,4,32.68949995827423
2023,9,5,32.68949995827423
2023,9,6,32.68949995827423
2023,9,7,32.68949995827423
2023,9,8,32.68949995827423
2023,9,9,32.68949995827423
2023,9,10,32.63949995827423
2023,9,11,32.68949995827423
2023,9,12,32.68949995827423
2023,9,13,32.75929364193168
2023,9,14,32.68949995827423
2023,9,15,32.789499958274234
2023,9,16,32.769706274616794
2023,9,17,32.88949995827423
2023,9,18,32.84991259095935
2023,9,19,32.84991259095935
2023,9,20,32.810325223644476
2023,9,21,32.86032522364447
2023,9,22,32.86032522364447
2023,9,23,32.810325223644476
2023,9,24,32.790531539987036
2023,9,25,32.74053153998704
2023,9,26,32.61032522364448
2023,9,27,32.61032522364448
2023,9,28,32.63011890730192
2023,9,29,32.38949995827423
2023,9,30,32.13949995827423
2023,9,31,32.08949995827423
2023,10,1,32.08949995827423
2023,10,2,32.208262060218864
2023,10,3,32.107230478506054
2023,10,4,32.12702416216349
2023,10,5,32.12702416216349
2023,10,6,32.206198896793246
2023,10,7,32.206198896793246
2023,10,8,32.15619889679325
2023,10,9,32.10619889679325
2023,10,10,32.056198896793255
2023,10,11,32.02599258045068
2023,10,12,31.99578626410812
2023,10,13,31.765579947765556
2023,10,14,31.685373631423
2023,10,15,31.70516731508044
2023,10,16,31.60413573336763
2023,10,17,31.443723100682504
2023,10,18,31.24372310068251
2023,10,19,31.32289783531226
2023,10,20,31.202072569942015
2023,10,21,31.081247304571768
2023,10,22,31.03124730457177
2023,10,23,31.01042203920152
2023,10,24,31.039596773831274
2023,10,25,31.05939045748871
2023,10,26,30.99897782480359
2023,10,27,30.968771508461028
2023,10,28,30.918771508461028
2023,10,29,30.958358875775907
2023,10,30,30.82815255943334
2023,11,1,30.797946243090784
2023,11,2,30.757327294063096
2023,11,3,30.877120977720537
2023,11,4,30.777120977720536
2023,11,5,30.816708345035412
2023,11,6,30.777120977720536
2023,11,7,30.76670834503541
2023,11,8,30.76670834503541
2023,11,9,30.71670834503541
2023,11,10,30.73650202869285
2023,11,11,30.73650202869285
2023,11,12,30.756295712350287
2023,11,13,30.756295712350287
2023,11,14,30.65629571235029
2023,11,15,30.556295712350288
2023,11,16,30.40629571235029
2023,11,17,30.395883079665165
2023,11,18,30.43547044698004
2023,11,19,30.294851497952358
2023,11,20,30.314645181609798
2023,11,21,30.314645181609798
2023,11,22,30.39381991623955
2023,11,23,30.29381991623955
2023,11,24,30.24381991623955
2023,11,25,30.19381991623955
2023,11,26,30.333407283554426
2023,11,27,30.453200967211867
2023,11,28,30.472994650869303
2023,11,29,30.433407283554427
2023,11,30,30.29381991623955
2023,11,31,30.29381991623955
2023,12,1,30.29381991623955
2023,12,2,30.19381991623955
2023,12,3,30.233407283554428
2023,12,4,30.233407283554428
2023,12,5,30.272994650869304
2023,12,6,30.222994650869303
2023,12,7,30.172994650869303
2023,12,8,30.0729946508693
2023,12,9,30.142788334526742
2023,12,10,30.162582018184178
2023,12,11,30.252169385499055
2023,12,12,30.23237570184162
2023,12,13,30.182375701841618
2023,12,14,29.96258201818418
2023,12,15,29.912582018184178
2023,12,16,29.83237570184162
2023,12,17,29.911550436471373
2023,12,18,29.78134412012881
2023,12,19,29.72093148744369
2023,12,20,29.570931487443687
2023,12,21,29.330312538416
2023,12,22,29.469899905730877
2023,12,23,29.529280956703193
2023,12,24,29.848043058647825
2023,12,25,29.908455691332946
2023,12,26,30.008455691332944
2023,12,27,30.029280956703193
2023,12,28,29.989693589388317
2023,12,29,30.15010622207344
2023,12,30,30.110518854758563
2024,1,1,30.03134412012881
2024,1,2,30.03134412012881
2024,1,3,29.931344120128813
2024,1,4,29.881344120128812
2024,1,5,29.83134412012881
2024,1,6,29.870931487443688
2024,1,7,29.790725171101123
2024,1,8,29.710518854758565
2024,1,9,29.710518854758565
2024,1,10,29.75010622207344
2024,1,11,29.789693589388317
2024,1,12,29.789693589388317
2024,1,13,29.889693589388315
2024,1,14,29.889693589388315
2024,1,15,29.939693589388316
2024,1,16,29.95010622207344
2024,1,17,29.95010622207344
2024,1,18,30.030312538416002
2024,1,19,30.010518854758566
2024,1,20,30.110518854758563
2024,1,21,30.17093148744369
2024,1,22,30.17093148744369
2024,1,23,30.23134412012881
2024,1,24,30.19175675281393
2024,1,25,30.19175675281393
2024,1,26,30.152169385499054
2024,1,27,30.152169385499054
2024,1,28,30.152169385499054
2024,1,29,30.152169385499054
2024,1,30,30.152169385499054
2024,1,31,30.152169385499054
2024,2,1,30.152169385499054
2024,2,2,30.252169385499055
2024,2,3,30.252169385499055
2024,2,4,30.352169385499057
2024,2,5,30.31258201818418
2024,2,6,30.412582018184178
2024,2,7,30.472994650869303
2024,2,8,30.622994650869302
2024,2,9,30.633407283554426
2024,2,10,30.79381991623955
